,Unnamed: 0,restaurant,category,food,price
178,178.0,کباب بره صوفیا,کباب,خوراک کباب بختیاری ," ۲۳۵,۰۰۰ تومان"
179,179.0,کباب بره صوفیا,کباب,خوراک جوجه کباب با استخوان ," ۱۵۰,۰۰۰ تومان"
180,180.0,کباب بره صوفیا,کباب,خوراک جوجه کباب برگ مخصوص ," ۱۹۰,۰۰۰ تومان"
181,181.0,کباب بره صوفیا,کباب,خوراک جوجه کباب لقمه ای مخصوص ," ۱۷۰,۰۰۰ تومان"
182,182.0,کباب بره صوفیا,کباب,گوجه کبابی ," ۱۵,۰۰۰ تومان"
183,183.0,کباب بره صوفیا,ساندویچ,ساندویچ کباب کوبیده مخصوص ," ۱۰۵,۰۰۰ تومان"
184,184.0,کباب بره صوفیا,ساندویچ,ساندویچ کباب کوبیده مرغ ," ۷۰,۰۰۰ تومان"
185,185.0,کباب بره صوفیا,ساندویچ,ساندویچ کباب کوبیده میکس ," ۱۶۳,۰۰۰ تومان"
186,186.0,کباب بره صوفیا,پیش غذا,زیتون شور ," ۲۰,۰۰۰ تومان"
187,187.0,کباب بره صوفیا,پیش غذا,زیتون پرورده ," ۲۰,۰۰۰ تومان"
188,188.0,کباب بره صوفیا,پیش غذا,ماست موسیر ," ۲۰,۰۰۰ تومان"
189,189.0,کباب بره صوفیا,نوشیدنی,نوشابه بطری ," ۱۴,۰۰۰ تومان"
190,190.0,کباب بره صوفیا,نوشیدنی,نوشابه خانواده پپسی کولا ," ۱۴,۰۰۰ تومان"
191,191.0,کباب بره صوفیا,نوشیدنی,ماءالشعیر قوطی هی دی ," ۱۴,۰۰۰ تومان"
192,192.0,کباب بره صوفیا,نوشیدنی,دوغ بطری محلی ," ۳۳,۰۰۰ تومان"
193,193.0,کباب بره صوفیا,نوشیدنی,دوغ خانواده محلی ," ۳۳,۰۰۰ تومان"
194,194.0,کباب بره صوفیا,نوشیدنی,آب معدنی کوچک ," ۳۳,۰۰۰ تومان"
195,195.0,کباب بره صوفیا,نوشیدنی,آب معدنی بزرگ ," ۲۴,۰۰۰ تومان"
196,196.0,فست فود قارچ ویچ,نوشیدنی,نوشابه شیشه ای ," ۲۰,۰۰۰ تومان"
197,197.0,فست فود قارچ ویچ,نوشیدنی,نوشابه بطری ," ۲۰,۰۰۰ تومان"
198,198.0,فست فود قارچ ویچ,نوشیدنی,نوشابه قوطی ," ۱۴,۵۰۰ تومان"
199,199.0,فست فود قارچ ویچ,نوشیدنی,نوشابه خانواده پپسی کولا ," ۱۴,۵۰۰ تومان"
200,200.0,فست فود قارچ ویچ,نوشیدنی,ماءالشعیر خانواده هی دی ," ۱۴,۵۰۰ تومان"
201,201.0,فست فود قارچ ویچ,نوشیدنی,ماءالشعیر خانواده سن ایچ ," ۲۲,۰۰۰ تومان"
202,202.0,فست فود قارچ ویچ,نوشیدنی,لیموناد شیشه ای زمزم ," ۲۲,۰۰۰ تومان"
203,203.0,فست فود قارچ ویچ,نوشیدنی,دوغ شیشه ای آبعلی ," ۲۲,۰۰۰ تومان"
204,204.0,فست فود قارچ ویچ,نوشیدنی,دوغ بطری اعلاء ," ۳۳,۰۰۰ تومان"
205,205.0,فست فود قارچ ویچ,نوشیدنی,آب معدنی کوچک ," ۳۳,۰۰۰ تومان"
206,206.0,فست فود قارچ ویچ,نوشیدنی,آب معدنی بزرگ ," ۳۳,۰۰۰ تومان"
207,207.0,خانه برگر,برگر,همبرگر مرغ ," ۱۰۹,۰۰۰ تومان"
208,208.0,خانه برگر,برگر,چیز برگر مرغ ," ۱۲۹,۰۰۰ تومان"
209,209.0,خانه برگر,برگر,ماشروم برگر مرغ ," ۱۲۹,۰۰۰ تومان"
210,210.0,خانه برگر,برگر,چیلی برگر مرغ ," ۱۱۰,۰۰۰ تومان"
211,211.0,خانه برگر,برگر,چیلی برگر ماشروم مرغ ," ۱۳۲,۰۰۰ تومان"
212,212.0,خانه برگر,برگر,چیکن دونر ," ۱۶۸,۰۰۰ تومان"
213,213.0,خانه برگر,برگر,چیکن پپرونی ," ۱۶۸,۰۰۰ تومان"
214,214.0,خانه برگر,برگر,چیکن رویال ," ۱۶۸,۰۰۰ تومان"
215,215.0,خانه برگر,برگر,چیز برگر اسپایسی مرغ ," ۱۲۹,۰۰۰ تومان"
216,216.0,خانه برگر,برگر,هات چیکن ," ۱۶۸,۰۰۰ تومان"
217,217.0,خانه برگر,برگر,دبل میکس پنیری ," ۲۱۹,۰۰۰ تومان"
218,218.0,خانه برگر,برگر,همبرگر گوشت ," ۱۳۳,۰۰۰ تومان"
219,219.0,خانه برگر,برگر,چیز برگر ," ۱۴۷,۰۰۰ تومان"
220,220.0,خانه برگر,برگر,ماشروم برگر ," ۱۴۷,۰۰۰ تومان"
221,221.0,خانه برگر,برگر,چیز برگر ماشروم ," ۱۵۷,۰۰۰ تومان"
222,222.0,خانه برگر,برگر,چیلی برگر ," ۱۳۵,۰۰۰ تومان"
223,223.0,خانه برگر,برگر,دونر برگر ," ۱۷۹,۰۰۰ تومان"
224,224.0,خانه برگر,برگر,هات دونر گوسفند ," ۱۷۹,۰۰۰ تومان"
225,225.0,خانه برگر,نوشیدنی,نوشابه قوطی ," ۲۴,۵۰۰ تومان"
226,226.0,خانه برگر,نوشیدنی,ماءالشعیر شیشه ای هی دی ," ۲۴,۵۰۰ تومان"
227,227.0,خانه برگر,نوشیدنی,دوغ بطری محلی ," ۲۴,۵۰۰ تومان"
228,228.0,خانه برگر,نوشیدنی,آب معدنی کوچک ," ۲۲,۰۰۰ تومان"
229,229.0,مرغ شکم پرهمت,خوراک,مرغ شکم پر با رب انار ," ۲۵۰,۰۰۰ تومان"
230,230.0,مرغ شکم پرهمت,بریان,بال بریان ," ۲۹۰,۰۰۰ تومان"
231,231.0,مرغ شکم پرهمت,نوشیدنی,نوشابه خانواده پپسی کولا ," ۳۰,۰۰۰ تومان"
232,232.0,مرغ شکم پرهمت,نوشیدنی,دوغ خانواده آبعلی ," ۳۰,۰۰۰ تومان"
233,233.0,رستوران ۹۰,چلو کباب,چلوکباب کوبیده گوشت ," ۱۸۰,۰۰۰ تومان"
234,234.0,رستوران ۹۰,چلو کباب,چلو کباب وزیری ," ۱۲۰,۰۰۰ تومان"
235,235.0,رستوران ۹۰,چلو کباب,چلو جوجه کباب سینه مرغ  ," ۱۳۰,۰۰۰ تومان"
236,236.0,رستوران ۹۰,چلو کباب,چلو بال و بازو کبابی ," ۱۰۰,۰۰۰ تومان"
237,237.0,رستوران ۹۰,چلو کباب,چلو کره ," ۵۰,۰۰۰ تومان"
238,238.0,رستوران ۹۰,چلو پلو ایرانی,چلو رولت ," ۲۱۰,۰۰۰ تومان"
